Evaluation,Model,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
CV,RandomForest,0.2,0.362,0.0786,0.4018,0.07,0.3439,0.0702,0.9035,0.0162,0.4989,0.1189,0.8655,0.0648,0.4409,0.1058
CV,LightGBM,0.2,0.3061,0.1372,0.3315,0.133,0.4276,0.1523,0.9278,0.0158,0.2789,0.1207,0.8561,0.066,0.433,0.1063
CV,XGBoost,0.2,0.3437,0.0566,0.3857,0.0524,0.3631,0.0737,0.9111,0.0153,0.4267,0.0741,0.8534,0.0547,0.4267,0.093
CV,ExtraTrees,0.2,0.3828,0.089,0.4189,0.0735,0.3831,0.0931,0.9118,0.0179,0.4911,0.153,0.874,0.0664,0.4126,0.1108
CV,HistGradientBoosting,0.2,0.3383,0.1191,0.3663,0.1182,0.4375,0.1317,0.9271,0.0168,0.3311,0.1254,0.8402,0.0615,0.4078,0.0981
CV,LogisticRegression,0.2,0.3072,0.1214,0.3506,0.1103,0.3151,0.1231,0.8965,0.0284,0.4244,0.1469,0.8359,0.0615,0.3748,0.1474
CV,RandomForest,0.5,0.3168,0.1549,0.2754,0.1415,0.6667,0.3216,0.9396,0.0104,0.1833,0.1052,0.8655,0.0648,0.4409,0.1058
CV,LightGBM,0.5,0.3353,0.1584,0.3373,0.1448,0.5342,0.2373,0.9354,0.0143,0.2567,0.1187,0.8561,0.066,0.433,0.1063
CV,XGBoost,0.5,0.3171,0.1224,0.339,0.1216,0.4433,0.1393,0.9292,0.0134,0.2878,0.1243,0.8534,0.0547,0.4267,0.093
CV,ExtraTrees,0.5,0.2947,0.1946,0.3016,0.1773,0.475,0.265,0.934,0.0151,0.2233,0.1359,0.874,0.0664,0.4126,0.1108
CV,HistGradientBoosting,0.5,0.3373,0.1369,0.3334,0.1371,0.5517,0.163,0.9382,0.0106,0.2456,0.1159,0.8402,0.0615,0.4078,0.0981
CV,LogisticRegression,0.5,0.2523,0.1858,0.2612,0.1692,0.4267,0.2525,0.9299,0.0168,0.1933,0.1339,0.8359,0.0615,0.3748,0.1474
LOGO,ExtraTrees,0.2,0.26,0.2108,0.2637,0.195,0.3427,0.2934,0.9188,0.0486,0.3159,0.3116,0.8185,0.1431,0.4802,0.2884
LOGO,LogisticRegression,0.2,0.3362,0.2152,0.3362,0.2018,0.4312,0.3092,0.9229,0.0528,0.3718,0.274,0.8274,0.1483,0.4742,0.2338
LOGO,RandomForest,0.2,0.2825,0.2261,0.2863,0.2127,0.3326,0.299,0.9097,0.0452,0.3838,0.3322,0.8055,0.1506,0.4547,0.2486
LOGO,LightGBM,0.2,0.2852,0.253,0.2782,0.2328,0.4417,0.3585,0.9292,0.0543,0.2629,0.2898,0.8301,0.1354,0.4349,0.1929
LOGO,HistGradientBoosting,0.2,0.2742,0.2648,0.2672,0.2441,0.4189,0.4073,0.925,0.0516,0.2665,0.2978,0.8393,0.1148,0.434,0.2137
LOGO,XGBoost,0.2,0.2748,0.2698,0.2906,0.2494,0.3505,0.34,0.9153,0.0606,0.3239,0.3109,0.8248,0.1405,0.4152,0.2072
LOGO,ExtraTrees,0.5,0.2946,0.2337,0.2599,0.2119,0.5625,0.4031,0.9368,0.0511,0.2077,0.2476,0.8185,0.1431,0.4802,0.2884
LOGO,LogisticRegression,0.5,0.3691,0.2541,0.3366,0.2421,0.625,0.3873,0.9403,0.0523,0.278,0.2692,0.8274,0.1483,0.4742,0.2338
LOGO,RandomForest,0.5,0.3066,0.2492,0.266,0.2332,0.5938,0.4171,0.9375,0.0515,0.216,0.2679,0.8055,0.1506,0.4547,0.2486
LOGO,LightGBM,0.5,0.3068,0.2573,0.2864,0.2299,0.5229,0.3966,0.9347,0.0546,0.242,0.2701,0.8301,0.1354,0.4349,0.1929
LOGO,HistGradientBoosting,0.5,0.2311,0.2718,0.2103,0.2494,0.4583,0.4655,0.9354,0.0512,0.1488,0.1937,0.8393,0.1148,0.434,0.2137
LOGO,XGBoost,0.5,0.2863,0.2766,0.2923,0.2561,0.4104,0.3607,0.9285,0.0577,0.2775,0.2936,0.8248,0.1405,0.4152,0.2072
