MCC,F1,Precision,Accuracy,Recall,AUROC,AUPRC
0.28888888888888886,0.3333333333333333,0.3333333333333333,0.9166666666666666,0.3333333333333333,0.9197530864197531,0.43953638953638957
0.26117157449298234,0.3076923076923077,0.23529411764705882,0.875,0.4444444444444444,0.7641975308641975,0.28138863455080104
0.31909295994661596,0.36363636363636365,0.3076923076923077,0.9027777777777778,0.4444444444444444,0.9053497942386831,0.4542671835759393
0.5096367047620117,0.5185185185185185,0.3888888888888889,0.9097222222222222,0.7777777777777778,0.9436213991769548,0.5857473544973545
0.30261376633440124,0.34782608695652173,0.2857142857142857,0.8958333333333334,0.4444444444444444,0.9082304526748971,0.5610316992500901
0.33734954246999327,0.38095238095238093,0.3333333333333333,0.9097222222222222,0.4444444444444444,0.8189300411522633,0.3671852235258032
0.43566760954221007,0.47619047619047616,0.45454545454545453,0.9236111111111112,0.5,0.842910447761194,0.4236269644334161
0.43566760954221007,0.47619047619047616,0.45454545454545453,0.9236111111111112,0.5,0.9033582089552239,0.5669361962229609
0.3380419915627369,0.38461538461538464,0.3125,0.8888888888888888,0.5,0.762686567164179,0.4217863053698967
0.3923576976430904,0.42857142857142855,0.3333333333333333,0.8888888888888888,0.6,0.8861940298507464,0.3076648025177437
