MCC,F1,Precision,Accuracy,Recall,AUROC,AUPRC,HeldOutDrug
0.0841334546665505,0.13333333333333333,0.25,0.8555555555555555,0.09090909090909091,0.6323360184119677,0.22912745535328266,Atovaquone
0.2651439066774996,0.3076923076923077,0.25,0.9,0.4,0.8858823529411765,0.5304615384615385,Chlorpromazine_Hcl
0.4083088605285075,0.4,0.2857142857142857,0.9333333333333333,0.6666666666666666,0.9233716475095785,0.3333333333333333,Clofazimine
0.2618924633082486,0.25,0.16666666666666666,0.9333333333333333,0.5,0.5170454545454545,0.2611111111111111,Curcumine
0.059391387091649865,0.13333333333333333,0.16666666666666666,0.8555555555555555,0.1111111111111111,0.6694101508916325,0.20908295646635802,Econazole
0.2918001232638926,0.3333333333333333,0.2857142857142857,0.9111111111111111,0.4,0.831764705882353,0.3793074849678624,Etravirine
0.5802378669525132,0.5882352941176471,0.8333333333333334,0.9222222222222223,0.45454545454545453,0.8532796317606445,0.6813506582856428,Fulvestrant
0.0,0.0,0.0,0.9333333333333333,0.0,,,Gefitinib
0.6381991713220434,0.6666666666666666,0.625,0.9444444444444444,0.7142857142857143,0.9561101549053357,0.7612815755672897,Lumefantrine
0.19025295692965058,0.16666666666666666,0.6666666666666666,0.7777777777777778,0.09523809523809523,0.5948930296756383,0.3384157967007862,Nelfinavir
-0.036563621206356534,0.0,0.0,0.9222222222222223,0.0,0.8153409090909091,0.08116883116883117,Physcion
0.0,0.0,0.0,0.9555555555555556,0.0,,,Pranlukast
0.5570860145311556,0.5,0.3333333333333333,0.9333333333333333,1.0,1.0,1.0,Rapamycin
0.2857142857142857,0.3333333333333333,0.3333333333333333,0.9111111111111111,0.3333333333333333,0.7797619047619048,0.4327020202020202,Rilpivirine
0.594515160329885,0.5454545454545454,1.0,0.9444444444444444,0.375,0.8285060975609756,0.6288465007215007,Sorafenib
0.339364905854808,0.2222222222222222,0.125,0.9222222222222223,1.0,0.9887640449438202,0.5,Taxol
